name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
layer4.0.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 1024, 14, 14]","[1, 512, 14, 14]",102760448,102760448,0,205520896,524288,100352
layer4.0.bn1,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
layer4.0.relu,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",0,0,100352,100352,0,100352
layer4.0.conv2,"kernel=3x3,stride=2x2,pad=1x1,num_out=512","[1, 512, 14, 14]","[1, 512, 7, 7]",115605504,115605504,0,231211008,2359296,25088
layer4.0.bn2,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",25088,25088,0,50176,0,25088
layer4.0.relu,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",0,0,25088,25088,0,25088
layer4.0.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=2048","[1, 512, 7, 7]","[1, 2048, 7, 7]",51380224,51380224,0,102760448,1048576,100352
layer4.0.bn3,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",100352,100352,0,200704,0,100352
layer4.0.downsample.0,"kernel=1x1,stride=2x2,pad=0x0,num_out=2048","[1, 1024, 14, 14]","[1, 2048, 7, 7]",102760448,102760448,0,205520896,2097152,100352
layer4.0.downsample.1,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",100352,100352,0,200704,0,100352
layer4.0.relu,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",0,0,100352,100352,0,100352
layer4.1.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 2048, 7, 7]","[1, 512, 7, 7]",51380224,51380224,0,102760448,1048576,25088
layer4.1.bn1,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",25088,25088,0,50176,0,25088
layer4.1.relu,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",0,0,25088,25088,0,25088
layer4.1.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=512","[1, 512, 7, 7]","[1, 512, 7, 7]",115605504,115605504,0,231211008,2359296,25088
layer4.1.bn2,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",25088,25088,0,50176,0,25088
layer4.1.relu,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",0,0,25088,25088,0,25088
layer4.1.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=2048","[1, 512, 7, 7]","[1, 2048, 7, 7]",51380224,51380224,0,102760448,1048576,100352
layer4.1.bn3,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",100352,100352,0,200704,0,100352
layer4.1.relu,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",0,0,100352,100352,0,100352
layer4.2.conv1,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 2048, 7, 7]","[1, 512, 7, 7]",51380224,51380224,0,102760448,1048576,25088
layer4.2.bn1,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",25088,25088,0,50176,0,25088
layer4.2.relu,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",0,0,25088,25088,0,25088
layer4.2.conv2,"kernel=3x3,stride=1x1,pad=1x1,num_out=512","[1, 512, 7, 7]","[1, 512, 7, 7]",115605504,115605504,0,231211008,2359296,25088
layer4.2.bn2,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",25088,25088,0,50176,0,25088
layer4.2.relu,None,"[1, 512, 7, 7]","[1, 512, 7, 7]",0,0,25088,25088,0,25088
layer4.2.conv3,"kernel=1x1,stride=1x1,pad=0x0,num_out=2048","[1, 512, 7, 7]","[1, 2048, 7, 7]",51380224,51380224,0,102760448,1048576,100352
layer4.2.bn3,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",100352,100352,0,200704,0,100352
layer4.2.relu,None,"[1, 2048, 7, 7]","[1, 2048, 7, 7]",0,0,100352,100352,0,100352
fc,None,"[1, 2048]","[1, 17]",34816,34816,0,69632,34816,17
SUM,0,0,0,4098285056,4098285056,11214336,8207784448,23489728,32037393
